institution,location,year,rank,ovr_score,academic_reputation,employer_reputation,cite_per_paper,h_index_citation
New York University (NYU),United States,2014,51-100,NaN,52.9,81,77.5,76.3
North Carolina State University,United States,2014,51-100,NaN,55,68.7,70.8,68.6
Pennsylvania State University,United States,2014,51-100,NaN,55.2,70.5,74.4,73.8
Pontificia Universidad Católica de Chile (UC),Chile,2014,51-100,NaN,53.4,68.6,53,62.6
Rutgers University–New Brunswick,United States,2014,51-100,NaN,52.2,52.5,78.9,68.6
Sapienza University of Rome,Italy,2014,51-100,NaN,52.6,75.1,66.2,68.6
Technische Universität Berlin (TU Berlin),Germany,2014,51-100,NaN,58.8,55.4,67.1,78.6
The University of Auckland,New Zealand,2014,51-100,NaN,59.4,89.6,55.2,73.8
The University of Manchester,United Kingdom,2014,51-100,NaN,51.2,79.9,77.8,76.3
The University of New South Wales (UNSW Sydney),Australia,2014,51-100,NaN,62,90.5,60.5,62.6
University of Nottingham,United Kingdom,2014,51-100,NaN,40.7,79.6,75,71.3
The University of Queensland,Australia,2014,51-100,NaN,64.4,82.6,52.6,55.9
The University of Sydney,Australia,2014,51-100,NaN,57.6,89.2,70.8,68.6
Tokyo Institute of Technology (Tokyo Tech),Japan,2014,51-100,NaN,65.9,69.2,59,59.4
Universitat Politècnica de València,Spain,2014,51-100,NaN,41.7,57.1,75.2,71.3
Universidade Estadual de Campinas (Unicamp),Brazil,2014,51-100,NaN,60,62.8,51.5,62.6
Alma Mater Studiorum - University of Bologna,Italy,2014,51-100,NaN,55.9,77.7,59.2,59.4
Universitat de Barcelona,Spain,2014,51-100,NaN,39.6,68.1,92.7,52.1
University of Vienna,Austria,2014,51-100,NaN,49.3,53.3,70.6,84.9
University of Bristol,United Kingdom,2014,51-100,NaN,56.1,74.6,66.3,68.6
"University of California, Davis",United States,2014,51-100,NaN,54,73,69.9,78.6
"University of California, San Diego (UCSD)",United States,2014,51-100,NaN,43.9,69.4,80.2,68.6
University of Copenhagen,Denmark,2014,51-100,NaN,48.2,69.4,61.4,59.4
University of Florida,United States,2014,51-100,NaN,52.4,66.4,77.8,73.8
University of Glasgow,United Kingdom,2014,51-100,NaN,54.2,63.9,54.9,55.9
University of Illinois at Urbana-Champaign,United States,2014,51-100,NaN,59.7,57.6,74.6,68.6
University of Southern California,United States,2014,51-100,NaN,42.5,72,78.3,73.8
University of Waterloo,Canada,2014,51-100,NaN,55.4,80.6,69.8,71.3
Yale University,United States,2014,51-100,NaN,61.6,87.8,62.9,65.7
Yonsei University,South Korea,2014,51-100,NaN,51.6,78.4,59,65.7
Beihang University (former BUAA),China (Mainland),2014,101-150,NaN,33.1,44.4,72.4,73.8
Brown University,United States,2014,101-150,NaN,46,83,53.5,59.4
Cardiff University,United Kingdom,2014,101-150,NaN,30.9,74.3,65.5,71.3
Chalmers University of Technology,Sweden,2014,101-150,NaN,52.8,56.6,47.5,59.4
Colorado State University,United States,2014,101-150,NaN,44.8,56.6,52.9,62.6
"Ecole normale supérieure, Paris",France,2014,101-150,NaN,44.2,69.3,70.4,55.9
Indian Institute of Technology Bombay (IITB),India,2014,101-150,NaN,53.1,85.8,35.1,47.9
Indian Institute of Technology Kanpur (IITK),India,2014,101-150,NaN,45.6,69.9,61.8,62.6
Indian Institute of Technology Kharagpur (IIT-KGP),India,2014,101-150,NaN,49,81.7,45,65.7
Indian Statistical Institute,India,2014,101-150,NaN,52.1,40.9,46.8,62.6
Indiana University Bloomington,United States,2014,101-150,NaN,36.5,69.9,70.4,59.4
King Fahd University of Petroleum & Minerals,Saudi Arabia,2014,101-150,NaN,46.4,62.4,50.5,59.4
Ludwig-Maximilians-Universität München,Germany,2014,101-150,NaN,38.4,66.3,55.4,59.4
Lund University,Sweden,2014,101-150,NaN,41.5,63.9,55.4,65.7
Massey University,New Zealand,2014,101-150,NaN,49.5,78.4,27.7,47.9
McMaster University,Canada,2014,101-150,NaN,32,74.5,67.9,68.6
Michigan State University,United States,2014,101-150,NaN,35.1,75.2,69.8,76.3
Middle East Technical University,Turkey,2014,101-150,NaN,41.2,73.5,53.9,62.6
National Central University,Taiwan,2014,101-150,NaN,39.1,51.4,59.6,59.4
National Technical University of Athens,Greece,2014,101-150,NaN,42.6,77.3,62.3,65.7
The Ohio State University,United States,2014,101-150,NaN,35.9,62.4,72,68.6
RWTH Aachen University,Germany,2014,101-150,NaN,55.5,40.5,43.4,59.4
The University of Sheffield,United Kingdom,2014,101-150,NaN,45.2,69.3,54.1,59.4
The University of Western Australia,Australia,2014,101-150,NaN,52.9,75.3,21.1,43.4
Western University,Canada,2014,101-150,NaN,37.1,67.2,56.7,62.6
Universidad Carlos III de Madrid (UC3M),Spain,2014,101-150,NaN,33.6,69,62.7,62.6
University of Granada,Spain,2014,101-150,NaN,35.6,52,71.9,65.7
Universidade Federal de Minas Gerais,Brazil,2014,101-150,NaN,53.2,36.6,51.8,59.4
Universidade Federal do Rio de Janeiro,Brazil,2014,101-150,NaN,60.8,36.8,44.9,47.9
Universitat Autònoma de Barcelona,Spain,2014,101-150,NaN,46.1,51.1,43.6,47.9
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,2014,101-150,NaN,43.5,52.2,73.2,65.7
"Université Paris-Dauphine, Université PSL",France,2014,101-150,NaN,43.9,62.8,60.2,65.7
University of Amsterdam,Netherlands,2014,101-150,NaN,41.1,53.3,61.6,55.9
University of Bath,United Kingdom,2014,101-150,NaN,38.4,75.1,47.3,52.1
University of Birmingham,United Kingdom,2014,101-150,NaN,38.3,57.4,60.4,52.1
"University of California, Irvine",United States,2014,101-150,NaN,41.2,71,65.2,71.3
University of Canterbury,New Zealand,2014,101-150,NaN,63.1,67.2,31.6,38.4
The University of Edinburgh,United Kingdom,2014,101-150,NaN,49,76.8,56,52.1
Ghent University,Belgium,2014,101-150,NaN,25.1,62.8,71.2,76.3
University of Kansas,United States,2014,101-150,NaN,43.6,62.7,42.9,52.1
University of Leeds,United Kingdom,2014,101-150,NaN,46,76.3,55.7,59.4
University of Lisbon,Portugal,2014,101-150,NaN,45.1,40.1,55.4,55.9
University of Pittsburgh,United States,2014,101-150,NaN,32.6,53.9,64.8,59.4
University of St Andrews,United Kingdom,2014,101-150,NaN,35.2,64.9,58.2,52.1
"The University of Tennessee, Knoxville",United States,2014,101-150,NaN,48.5,28.3,57.8,55.9
Utrecht University,Netherlands,2014,101-150,NaN,45.6,47.3,50.6,55.9
Virginia Polytechnic Institute and State University,United States,2014,101-150,NaN,37.8,54.8,69.1,65.7
Vrije Universiteit Amsterdam,Netherlands,2014,101-150,NaN,26.7,63.5,67.7,68.6
York University,Canada,2014,101-150,NaN,27.5,70.3,70.1,71.3
Zhejiang University,China (Mainland),2014,101-150,NaN,40.9,74.4,61.7,59.4
Athens University of Economics and Business,Greece,2014,151-200,NaN,25.7,70.3,62.9,55.9
Beijing Normal University,China (Mainland),2014,151-200,NaN,28.2,53.9,56.4,59.4
Brunel University London,United Kingdom,2014,151-200,NaN,22.1,39.2,63.1,62.6
"City, University of London",United Kingdom,2014,151-200,NaN,45.5,67,30.5,32.8
Curtin University,Australia,2014,151-200,NaN,49.1,65.8,29.6,43.4
Florida State University,United States,2014,151-200,NaN,39.5,46.1,45.9,55.9
University of Göttingen,Germany,2014,151-200,NaN,40.3,36.4,43.6,52.1
The Hebrew University of Jerusalem,Israel,2014,151-200,NaN,26.1,38.7,62.5,65.7
Heriot-Watt University,United Kingdom,2014,151-200,NaN,36.5,60.8,33.8,47.9
Leiden University,Netherlands,2014,151-200,NaN,37,63.5,57,47.9
Linköping University,Sweden,2014,151-200,NaN,40.8,58.8,34.5,38.4
Lomonosov Moscow State University,Russia,2014,151-200,NaN,51.1,71,33,26.5
Nankai University,China (Mainland),2014,151-200,NaN,37.1,27.2,58.8,55.9
National and Kapodistrian University of Athens,Greece,2014,151-200,NaN,26.2,64.8,46.9,55.9
National Sun Yat-sen University,Taiwan,2014,151-200,NaN,44.8,0,43.7,43.4
Oregon State University,United States,2014,151-200,NaN,30.3,52.7,46.3,52.1
Queen Mary University of London,United Kingdom,2014,151-200,NaN,39.5,44.6,44.3,52.1
Queen's University Belfast,United Kingdom,2014,151-200,NaN,46.1,41.4,47.4,38.4
Queensland University of Technology (QUT),Australia,2014,151-200,NaN,20.7,80,57.3,59.4
Singapore Management University,Singapore,2014,151-200,NaN,41.8,77.9,24.3,32.8
Stockholm University,Sweden,2014,151-200,NaN,39,59,40.4,47.9
Sungkyunkwan University(SKKU),South Korea,2014,151-200,NaN,33.2,71.4,41.4,43.4
Tamkang University,Taiwan,2014,151-200,NaN,23.8,26.5,60.9,68.6
Vienna University of Technology,Austria,2014,151-200,NaN,38.7,42.5,49.2,55.9
The University of Georgia,United States,2014,151-200,NaN,38.4,28.4,48.9,43.4
Tilburg University,Netherlands,2014,151-200,NaN,30.4,0,71.4,76.3
Tongji University,China (Mainland),2014,151-200,NaN,32.6,31.2,47.9,59.4
Complutense University of Madrid,Spain,2014,151-200,NaN,38.1,65.9,52.3,47.9
Universidad de Zaragoza,Spain,2014,151-200,NaN,21.7,52.2,62.2,62.6
Universidad Nacional de Colombia,Colombia,2014,151-200,NaN,43.4,70.2,26.4,32.8
Universidade Federal de Pernambuco (UFPE),Brazil,2014,151-200,NaN,38.3,23.2,46.9,65.7
Università di Padova,Italy,2014,151-200,NaN,42.4,0,61.5,59.4
University of Pisa,Italy,2014,151-200,NaN,36.3,68.7,39.7,47.9
Universitat de Valencia,Spain,2014,151-200,NaN,37.4,0,65.7,68.6
Université Paris 1 Panthéon-Sorbonne,France,2014,151-200,NaN,43.8,73.4,39,43.4
Université Paul Sabatier Toulouse III,France,2014,151-200,NaN,42.8,0,42.4,55.9
University College Dublin,Ireland,2014,151-200,NaN,36.4,66,38.1,43.4
University of Alberta,Canada,2014,151-200,NaN,28.8,64.6,62,59.4
The University of Arizona,United States,2014,151-200,NaN,35.1,55.5,58.9,55.9
University of Connecticut,United States,2014,151-200,NaN,28.3,15.8,61.3,68.6
University of Helsinki,Finland,2014,151-200,NaN,42.4,58.2,40.5,38.4
University of Iowa,United States,2014,151-200,NaN,29.3,41.7,58.1,62.6
University of Massachusetts Amherst,United States,2014,151-200,NaN,32.4,19.1,59.5,52.1
University of North Carolina at Charlotte,United States,2014,151-200,NaN,33.3,49.1,54.8,52.1
University of Reading,United Kingdom,2014,151-200,NaN,38.3,53.2,50.3,38.4
University of Zurich,Switzerland,2014,151-200,NaN,50.1,54,31.8,43.4
Uppsala University,Sweden,2014,151-200,NaN,41.3,48.9,41.5,43.4
Waseda University,Japan,2014,151-200,NaN,40.2,74.1,47.2,38.4
Washington State University,United States,2014,151-200,NaN,42.7,54,38.6,55.9
Xiamen University,China (Mainland),2014,151-200,NaN,30.9,39.9,57.3,47.9
