,score,name,rank,country,district
636,44.9,Ankara University,62,Turkey,Ankara
637,44.9,Australian Catholic University,62,Australia,Fitzroy
638,44.9,Copenhagen Business School,62,Denmark,Frederiksberg
639,44.9,Nanjing University of Science & Technology,62,China,"Nanjing, Jiangsu"
640,44.9,Renmin University of China,62,China,Beijing
641,44.9,University of Rostock,62,Germany,Rostock
642,44.8,Chonnam National University,63,South Korea,"Gwangju, Jeolla"
643,44.8,Norwegian University of Life Sciences,63,Norway,Ås
644,44.8,University Hohenheim,63,Germany,Stuttgart
645,44.8,University of Salento,63,Italy, Lecce
646,44.8,Visva Bharati University,63,India,Santiniketan
647,44.7,AGH University of Science & Technology,63,Poland,Kraków
648,44.7,University of Debrecen,63,Hungary,Debrecen
649,44.6,Murdoch University,63,Australia,Murdoch
650,44.5,Universiti Kebangsaan Malaysia (UKM),63,Malaysia,Bangi Selangor
651,44.5,University of La Laguna,63,Spain,La Laguna
652,44.5,University of Lubeck,63,Germany,Lübeck
653,44.4,Pusan National University,64,South Korea,Busan
654,44.4,Rochester Institute of Technology,64,United States,"Rochester, NY"
655,44.4,University of Cagliari,64,Italy,Cagliari
656,44.4,University of North Texas,64,United States,"Denton, TX"
657,44.3,Benemerita Universidad Autonoma de Puebla,64,Mexico,Puebla
658,44.3,Centre-Val de Loire (ComUE),64,France,Orleans
659,44.3,North West University - South Africa,64,South Africa,Potchefstroom
660,44.3,Pontificia Universidad Javeriana,64,Colombia,"Bogotá, DC"
661,44.3,University of Canberra,64,Australia,"Canberra, Australian Capital Territory"
662,44.3,University of Qatar,64,Qatar,"Doha, Qatar"
663,44.2,Khalifa University of Science & Technology,65,United Arab Emirates,"Abu Dhabi, UAE"
664,44.2,St. Louis University,65,United States,"St. Louis, MO"
665,44.2,University of Salamanca,65,Spain,Salamanca
666,44.1,Indian Institute of Technology Delhi,65,India,New Delhi
667,44.1,Indian Institute of Technology Madras,65,India,"Chennai, Tamil Nadu"
668,44.1,Open University,65,United Kingdom,"Milton Keynes, Buckinghamshire"
