,score,name,rank,country,district
973,34.1,Hangzhou Normal University,96,China,"Hangzhou, Zhejiang"
974,34.1,Wroclaw University of Technology,96,Poland,Wroclaw
975,34,Athens Medical School,96,Greece,Athina
976,34,China Pharmaceutical University,96,China,"Nanjing, Jiangsu"
977,34,Federal University of Vicosa,96,Brazil,"Viçosa, Minas Gerais"
978,34,Gazi University,96,Turkey,Ankara
979,34,Universidad Austral de Chile,96,Chile,"Valdivia, Región de los Ríos"
980,33.9,Ajou University,96,South Korea,"Suwon, Gyeonggi"
981,33.9,Fordham University,96,United States,"New York, NY"
982,33.8,Polytechnic Institute of Porto,97,Portugal,Porto
983,33.8,University of the Free State,97,South Africa,Bloemfontein
984,33.7,San Francisco State University,97,United States,"San Francisco, CA"
985,33.7,Universidad de Valladolid,97,Spain,Valladolid
986,33.7,University of Hertfordshire,97,United Kingdom,"Hatfield, Hertfordshire"
987,33.7,Zhejiang Normal University,97,China,"Jinhua, Zhejiang"
988,33.6,Adiyaman University,97,Turkey,Adiyaman merkez
989,33.6,Oxford Brookes University,97,United Kingdom,Oxford
990,33.6,Universidade do Algarve,97,Portugal,Faro
991,33.6,University of the Sunshine Coast,97,Australia,Sippy Downs
992,33.6,University of Yaounde I,97,Cameroon,Yaounde
993,33.4,North Dakota State University,98,United States,"Fargo, ND"
994,33.4,Qingdao University,98,China,"Qingdao, Shandong"
995,33.3,Florida Atlantic University,98,United States,"Boca Raton, FL"
996,33.2,Loma Linda University,98,United States,"Loma Linda, CA"
997,33.2,Nicolaus Copernicus University,98,Poland,Toruń
998,33.2,University of Central Lancashire,98,United Kingdom,"Preston, Lancashire"
999,33.1,Jacobs University,98,Germany,Bremen
